Protein_A,Protein_B
AASS,ACADM
AATF,NGDN
AATF,NOL10
ABCD3,Orf6
ACE2,Spike
ACE2,TMPRSS2
ACOT2,E
ADAM9,ITGB1
AKAP1,Orf9b
AKAP10,Nsp8
AKAP9,PCNT
AKAP9,PRKACA
AKAP9,PRKAR2A
AKAP9,PRKAR2B
AKR1C1,Nsp12
AKT1,Nsp2
ALDH1A1,M
ALDH3A2,Spike
ANAPC7,Nsp7
ANKLE2,EMD
ANKLE2,Orf7a
ANKLE2,E
ANKLE2,Spike
ANO6,Spike
ANO6,STOM
AP2M1,AP2A2
APPL2,Nsp8
ARCN1,Orf6
ARF1,Orf3a
ARF1,Nsp6
ARF1,RAB1A
ARF1,RAB1B
ARF4,Nsp14
ARF4,RAB1A
ARF4,RAB8A
ARID1A,Nsp10
ARID1B,Nsp10
ARID2,Nsp10
ASRGL1,Nsp10
ASRGL1,Nsp2
ATP2A2,VAPA
ATP13A3,ATP5MG
ATP13A3,ATP6AP1
ATP1B1,RTN4
ATP2A2,Nsp2
ATP2A2,Nsp6
ATP2A2,Spike
ATP5F1B,Orf9b
ATP6AP1,ATP5MG
ATP6V1F,Nsp9
ATRX,Nsp10
ATRX,Nsp15
AUP1,Nsp4
AUP1,Orf7a
AUP1,E
AUP1,M
AUP1,Spike
AVEN,Nsp7
B2M,Orf8
B2M,CALR
B2M,ERP44
B2M,GGH
B2M,PDIA3
BCKDHA,Nsp9
BET1,Nsp4
BET1,Orf7a
BET1L,Orf3b
BET1L,GOSR1
BET1L,STX6
BET1L,VAMP3
BRCA2,Nsp8
BSG,Spike
BST2,Orf7a
CACYBP,Nsp15
CALR,Orf8
CAMSAP1,Nsp7
CAPN7,Nsp15
CAVIN1,N
CCDC138,Nsp7
CCDC22,Orf6
CCP110,Nsp7
CD209,Spike
CDK13,Nsp7
CDK5RAP2,CENPF
CDK5RAP2,CEP112
CDK5RAP2,CEP135
CDK5RAP2,CEP250
CDK5RAP2,CEP350
CDK5RAP2,CEP43
CDK5RAP2,CEP68
CDK5RAP2,CNTRL
CDK5RAP2,NIN
CDK5RAP2,NINL
CDK5RAP2,PCNT
CDK9,Nsp7
CDK9,CDK13
CDKAL1,Spike
CELF1,N
CEMIP2,Orf3b
CENPF,CEP112
CENPF,CEP135
CENPF,CEP250
CENPF,CEP350
CENPF,CEP68
CENPF,CNTRL
CENPF,NIN
CENPF,NINL
CENPF,PCNT
CEP135,CEP112
CEP135,CEP250
CEP135,CEP350
CEP135,CEP68
CEP135,CNTRL
CEP250,CEP112
CEP250,CEP350
CEP350,CEP112
CEP350,CNTRL
CEP43,CENPF
CEP43,CEP112
CEP43,CEP135
CEP43,CEP250
CEP43,CEP350
CEP43,CEP68
CEP43,CNTRL
CEP43,NIN
CEP43,NINL
CEP43,PCNT
CEP68,CEP112
CEP68,CEP250
CEP68,CEP350
CHD1,Nsp15
CISD1,Orf3b
CISD2,Orf6
CISD2,Nsp4
CISD2,Orf8
CISD2,Orf7a
CISD2,E
CISD2,M
CISD2,Orf3a
CISD2,Spike
CLASRP,Nsp10
CLEC10A,Spike
CLEC4M,CD209
CLEC4M,Spike
CLINT1,Orf3b
CLPX,Nsp10
CLPX,Nsp9
CLU,Orf8
CNTRL,AKAP9
CNTRL,CEP112
CNTRL,CEP250
CNTRL,CEP68
CNTRL,PCNT
COL6A1,PLOD2
COL6A1,PPIB
COPB1,Nsp8
COPD,GOSR1
COPD,KIF11
COPD,RAB1A
COPD,STX5
COTL1,Nsp13
COTL1,Nsp5
COX5B,Nsp15
CP110,RAB8A
CPD,Orf3b
CPNE1,Nsp8
CTSD,Orf8
CTSL,Spike
CUL2,ELOB
CUL2,ELOC
CUL2,RBX1
CUL2,ZYG11B
CYB5A,Orf7a
CYB5A,E
CYB5A,Spike
CYP24A1,Orf9b
CYP51A1,E
CYP51A1,Orf3a
CYP51A1,Nsp6
DBT,Nsp15
DDB1,Nsp8
DDB1,RBBP4
DDRGK1,Nsp8
DDX21,Nsp14
DDX21,RBM28
DDX21,RPL36
DHCR7,Nsp12
DHRS3,Spike
DHRS7,E
DHX57,N
DMXL1,Nsp12
DNAJB14,Nsp2
E,AP3B1
E,BRD2
E,BRD4
E,CWC27
E,SLC44A2
E,ZC3H18
ECSIT,NDUFAF1
EDEM3,CALR
EDEM3,ERP44
EDEM3,GANAB
EDEM3,HYOU1
EDEM3,OS9
EDEM3,PDIA3
EDEM3,PDIA4
EEF1A1,Nsp6
EEF1A1,RAN
EFTUD2,PTCD3
EFTUD2,Nsp8
EIF3A,Nsp1
EIF3G,Nsp1
EIF3G,EIF3A
EIF4ENIF1,Nsp9
ELOB,ELOC
ELOB,ZYG11B
ELOC,RBX1
ELOC,ZYG11B
EMC1,EDEM3
EMC7,Nsp6
EMD,Orf6
EMD,Nsp4
EMD,Orf7a
EMD,E
EMD,M
EMD,Nsp6
EMSY,Nsp9
ENO1,Orf9b
ERLEC1,EDEM3
ERLEC1,OS9
ERO1A,Orf8
ERO1A,PDIA3
ERO1A,PDIA4
ERO1B,PDIA3
ERO1B,PDIA4
ETFA,ACADM
EXOSC2,EXOSC3
EXOSC2,EXOSC5
EXOSC2,EXOSC8
EXOSC3,EXOSC5
EXOSC3,EXOSC8
EXOSC5,EXOSC8
FAM120A,N
FBLN5,FBN1
FBLN5,FBN2
FBN2,FBN1
FKBP10,PLOD2
FLII,Nsp15
